"UniProt_ID","Summary"
"A4IGY6","Predicted to enable monoatomic cation transmembrane transporter activity. Predicted to be involved in intracellular monoatomic cation homeostasis and zinc ion import across plasma membrane. Predicted to act upstream of or within several processes, including cellular response to glucose stimulus; intracellular zinc ion homeostasis; and transition metal ion transport. Predicted to be located in apical plasma membrane; basolateral plasma membrane; and bounding membrane of organelle. Predicted to be active in plasma membrane. Human ortholog(s) of this gene implicated in hypermanganesemia with dystonia 2. Orthologous to human SLC39A14 (solute carrier family 39 member 14). [provided by Alliance of Genome Resources, Mar 2025]"
"P36573","Enables galactoside binding activity. Located in collagen and cuticulin-based cuticle extracellular matrix. Orthologous to several human genes including LGALS9 (galectin 9) and LGALS9B (galectin 9B). [provided by Alliance of Genome Resources, Mar 2025]"
"Q66I24","Predicted to enable argininosuccinate synthase activity. Predicted to be involved in L-arginine biosynthetic process; argininosuccinate metabolic process; and urea cycle. Predicted to act upstream of or within amino acid biosynthetic process. Predicted to be located in cytosol. Predicted to be active in cytoplasm. Is expressed in several structures, including DEL; ball; brain; endoderm; and forerunner cell group. Human ortholog(s) of this gene implicated in citrullinemia; classic citrullinemia; hepatocellular carcinoma; and melanoma. Orthologous to human ASS1 (argininosuccinate synthase 1). [provided by Alliance of Genome Resources, Mar 2025]"
"Q8N2E2","Predicted to enable signaling receptor binding activity. Predicted to be active in cell surface and extracellular region. [provided by Alliance of Genome Resources, Mar 2025]"
"Q8R5I6","Enables glutathione transferase activity. Acts upstream of or within nitrobenzene metabolic process and xenobiotic catabolic process. Predicted to be located in cytosol and intercellular bridge. Is expressed in several structures, including alimentary system; central nervous system; genitourinary system; integumental system; and nose. Orthologous to human GSTM4 (glutathione S-transferase mu 4). [provided by Alliance of Genome Resources, Mar 2025]"
"P48416","No match found"
"O01393","Enables actin filament binding activity and gap junction channel activity. Involved in monoatomic ion transmembrane transport and positive regulation of locomotion. Located in gap junction. Is expressed in several structures, including anchor cell; muscle cell; neurons; phasmid sheath cell; and somatic nervous system. [provided by Alliance of Genome Resources, Mar 2025]"
"P28491",""
"P45878","Predicted to enable peptidyl-prolyl cis-trans isomerase activity. Predicted to be involved in chaperone-mediated protein folding and regulation of transcription by RNA polymerase II. Predicted to be located in endoplasmic reticulum membrane. Predicted to be active in endoplasmic reticulum. Is expressed in central nervous system and retina. Orthologous to human FKBP2 (FKBP prolyl isomerase 2). [provided by Alliance of Genome Resources, Mar 2025]"
"Q9XS79",""
"Q62186","Predicted to be located in endoplasmic reticulum. Predicted to be part of Sec61 translocon complex. Predicted to be active in endomembrane system. Is expressed in several structures, including gut; jaw; musculoskeletal system; nasal capsule; and submandibular gland primordium. Human ortholog(s) of this gene implicated in congenital disorder of glycosylation Iy. Orthologous to human SSR4 (signal sequence receptor subunit 4). [provided by Alliance of Genome Resources, Mar 2025]"
"G5EBQ8","Predicted to enable chitin synthase activity. Involved in chitin biosynthetic process and positive regulation of nematode larval development. Predicted to be located in plasma membrane. Is expressed in pharynx. [provided by Alliance of Genome Resources, Mar 2025]"
"Q5VU97","Predicted to enable voltage-gated calcium channel activity. Predicted to be involved in calcium ion transmembrane transport. Predicted to be located in membrane. Predicted to be part of voltage-gated calcium channel complex. [provided by Alliance of Genome Resources, Mar 2025]"
"B1H349","Predicted to enable DNA-binding transcription factor activity, RNA polymerase II-specific and RNA polymerase II cis-regulatory region sequence-specific DNA binding activity. Predicted to be involved in several processes, including cell fate commitment; positive regulation of chondrocyte differentiation; and regulation of transcription by RNA polymerase II. Predicted to act upstream of or within cartilage condensation and chondrocyte differentiation. Predicted to be active in nucleus. Is expressed in musculoskeletal system; nervous system; pharyngeal arch; and visual system. Human ortholog(s) of this gene implicated in high grade glioma. Orthologous to human SOX6 (SRY-box transcription factor 6). [provided by Alliance of Genome Resources, Mar 2025]"
"Q3UMF9","Predicted to be located in membrane. Predicted to be active in cytoplasm. Orthologous to human FAXC (failed axon connections homolog, metaxin like GST domain containing). [provided by Alliance of Genome Resources, Mar 2025]"
"Q8BGS2","Predicted to enable iron-sulfur cluster binding activity. Predicted to be involved in [2Fe-2S] cluster assembly; intracellular iron ion homeostasis; and protein maturation by iron-sulfur cluster transfer. Predicted to be located in cytoplasm. Predicted to be part of iron-sulfur cluster assembly complex. Predicted to be active in cytosol and nucleus. Orthologous to several human genes including BOLA2 (bolA family member 2). [provided by Alliance of Genome Resources, Mar 2025]"
"P15989",""
"P54315","Predicted to enable calcium ion binding activity. Predicted to be involved in lipid catabolic process. Predicted to be located in extracellular region. Biomarker of prostate cancer. [provided by Alliance of Genome Resources, Mar 2025]"
"P31029",""
"P49454","Synaptic vesicle membrane docking and fusion is mediated by SNAREs (soluble N-ethylmaleimide-sensitive factor attachment protein receptors) located on the vesicle membrane (v-SNAREs) and the target membrane (t-SNAREs). The assembled v-SNARE/t-SNARE complex consists of a bundle of four helices, one of which is supplied by v-SNARE and the other three by t-SNARE. For t-SNAREs on the plasma membrane, the protein syntaxin supplies one helix and the protein encoded by this gene contributes the other two. Therefore, this gene product is a presynaptic plasma membrane protein involved in the regulation of neurotransmitter release. Two alternative transcript variants encoding different protein isoforms have been described for this gene. [provided by RefSeq, Jul 2008]"
"Q9UBI9","This gene encodes the homolog of the Drosophila headcase protein, a highly basic, cytoplasmic protein that regulates the re-entry of imaginal cells into the mitotic cycle during adult morphogenesis. In Drosophila, the encoded protein also inhibits terminal branching of neighboring cells during tracheal development. [provided by RefSeq, Jul 2008]"
"Q98925",""
"Q803A6","Predicted to enable chromatin binding activity. Predicted to be involved in DNA-templated DNA replication and sister chromatid cohesion. Predicted to act upstream of or within DNA replication and cell division. Predicted to be located in nucleus. Predicted to be part of MCM complex. Is expressed in several structures, including alar plate midbrain region; blood; immature eye; nervous system; and ventral mesoderm. Orthologous to human MCMBP (minichromosome maintenance complex binding protein). [provided by Alliance of Genome Resources, Mar 2025]"
"Q8BHL8","Predicted to enable proteasome binding activity; protein heterodimerization activity; and protein homodimerization activity. Predicted to be involved in negative regulation of proteasomal protein catabolic process and ubiquitin-dependent protein catabolic process. Predicted to be located in cytosol; endoplasmic reticulum; and perinuclear region of cytoplasm. Predicted to be part of proteasome complex. Is expressed in several structures, including alimentary system; genitourinary system; immune system; liver and biliary system; and nervous system. Orthologous to human PSMF1 (proteasome inhibitor subunit 1). [provided by Alliance of Genome Resources, Mar 2025]"
"O02485","Predicted to be involved in signal transduction. Predicted to be active in cytoplasm. Human ortholog(s) of this gene implicated in Charcot-Marie-Tooth disease type 4D. Orthologous to human NDRG1 (N-myc downstream regulated 1); NDRG2 (NDRG family member 2); and NDRG4 (NDRG family member 4). [provided by Alliance of Genome Resources, Mar 2025]"
"P82198","Enables extracellular matrix binding activity. Acts upstream of or within cell adhesion and extracellular matrix organization. Located in extracellular matrix and extracellular space. Is expressed in several structures, including central nervous system; genitourinary system; heart and pericardium; sensory organ; and skeletal system. Used to study corneal dystrophy. Human ortholog(s) of this gene implicated in corneal dystrophy (multiple). Orthologous to human TGFBI (transforming growth factor beta induced). [provided by Alliance of Genome Resources, Mar 2025]"
"A0A0K0YB03","No match found"
"Q3UVU3","Predicted to enable calcium:manganese antiporter activity and zinc ion transmembrane transporter activity. Involved in manganese ion homeostasis. Predicted to be located in Golgi apparatus; endosome membrane; and plasma membrane. Predicted to be active in membrane. Is expressed in central nervous system and retina. Human ortholog(s) of this gene implicated in hypermanganesemia with dystonia 1. Orthologous to human SLC30A10 (solute carrier family 30 member 10). [provided by Alliance of Genome Resources, Mar 2025]"
"Q641F3","Predicted to be located in cytoplasm and extracellular region. Predicted to be part of collagen trimer. Is expressed in musculoskeletal system. Human ortholog(s) of this gene implicated in cocaine dependence. Orthologous to human COL21A1 (collagen type XXI alpha 1 chain). [provided by Alliance of Genome Resources, Mar 2025]"
"A6NMZ7","This gene encodes a large protein that contains multiple von Willebrand factor domains and forms a component of the basal lamina of epithelial cells. This protein may regulate epithelial cell-fibronectin interactions. Variation in this gene may be implicated in skin diseases. [provided by RefSeq, May 2017]"
"P24044",""
"Q9Y493","This gene encodes a protein that functions in the species specificity of sperm adhesion to the egg zona pellucida. The encoded protein is located in the acrosome and may be involved in signaling or gamete recognition. An allelic polymorphism in this gene results in both functional and frameshifted alleles; the reference genome represents the functional allele. Alternative splicing of this gene results in multiple transcript variants. [provided by RefSeq, Jul 2015]"
"Q9I9M5","Predicted to enable G protein-coupled receptor activity. Predicted to act upstream of or within G protein-coupled receptor signaling pathway and Wnt signaling pathway. Predicted to be located in plasma membrane. Is expressed in mesoderm; nervous system; pharyngeal arch; and vestibuloauditory system. [provided by Alliance of Genome Resources, Mar 2025]"
"Q5RBP9",""
"A0A481NSZ4","No match found"
"P80249","No match found"
"A4QP81","Predicted to enable metal ion binding activity and oxidoreductase activity. Predicted to be active in membrane. Is expressed in intestine. [provided by Alliance of Genome Resources, Mar 2025]"
